COC,CAS,type,m_mol,D_a,D_w,Log_Koc_Kd,,logKd_pH,logKd_pH_sat,H,,p_vap,C_sol,pKa,pKb,RfD_oral,RfD_dermal,RfC_inhal,SF_oral,SF_dermal,URF_inhal,is_carcinogenic,MCL,TWA,AQL,BCF,,,,,,,,lamda_s,lambda_w,lambda_s_unsat
"Indeno(1,2,3,c,d)Pyrene",193395,PAH,276.34,0.023281,0.00000441,7.53,Koc,0,0,5.07E-012,2.09091E-010,0.000000001,0.062,-,-,-,-,1.1,0.73,0.820224719,0.000088,TRUE,-,-,-,1,0.05,1.9,4.2,20,380,18.64101509,0.01,0.66,1460,1460
Benzo(b)Fluoranthene,205992,PAH,252,0.0226,0.00000556,5.74,Koc,0,0,0.0000201,0.00082894,6.6681E-007,0.0147,-,-,-,-,1,0.73,0.820224719,0.000088,TRUE,-,-,-,1,0.05,0.81,2.2,10,46,5.751586705,0.01,0.66,1220,1220
Fluoranthene,206440,PAH,202,0.0302,0.00000635,4.58,Koc,0,0,0.067,2.763132317,0.0177,0.206,-,-,0.04,0.0356,-,-,-,-,FALSE,-,-,-,1,0.05,0.36,1.5,7.3,8.9,2.110762851,0.01,0.66,880,880
Benzo(k)Fluoranthene,207089,PAH,252.32,0.0226,0.00000556,5.74,Koc,0,0,1.07E-008,4.41276E-007,0.000000001,0.0043,-,-,-,-,0.1,0.073,0.082022472,0.0000088,TRUE,-,-,-,1,0.05,1.2,3,14,130,9.950231505,0.01,0.66,4280,4280
Acenaphthylene,208968,PAH,152.21,0.043867,0.00000753,4,Koc,0,0,0.000114,0.004701449,8.51E-010,3.93,-,-,0.004,0.00356,-,-,-,-,FALSE,-,-,-,1,0.05,-,-,-,-,-,0.01,0.66,120,120
Chrysene,218019,PAH,228.2,0.0248,0.00000621,5.3,Koc,0,0,1.18E-008,4.86641E-007,5.76E-009,0.0018,-,-,-,-,0.0000009,1.15,1.292134831,0.000328571,TRUE,0.0002,-,-,1,0.05,0.81,2.2,10,46,5.751586705,0.01,0.66,2000,2000
Aldrin,309002,P,364.92,0.0132,0.00000486,2.61,Koc,0,0,0.0005,0.02062039,167000,0.0784,-,-,0.00003,-,60,17,34,0.0049,TRUE,-,0.25,0.003,1,0,-,-,-,-,-,-,-,1180,1180
"Dichlorobenzene, (1,3) (-m)",541731,AC,147,0.0688,0.0000079,3.23,Koc,0,0,0.00324,0.13362013,3.9,123,-,-,0.03,0.024,0.007,-,-,-,FALSE,-,-,-,66,0,0.087,0.69,4.1,0.4,0.345967346,0.01,0.66,360,360
Xylene (mixed isomers),1330207,A,106.2,0.072,0.0000085,2.38,Koc,0,0,0.007031875,0.29,7,198,-,-,2,1.84,7,-,-,-,FALSE,10,434,-,1,0.5,0.08,0.39,1.4,0.16,0.286510345,0.005,0.005,360,360
PCBs,1336363,PCB,290,0.104,0.00001,5.206309842,Koc,0,0,0.000294,0.01212479,0,0.2,-,-,0.00007,-,-,2,2.150537634,0.0006,TRUE,0.0005,-,-,100000,0.05,-,-,-,-,-,0.05,-,-,-
"Dioxin (2,3,7,8-tcdd)",1746016,C,322,0.104,0.0000056,0,Koc,0,0,0.0000812,0.003348751,1.52E-008,7.93103E-005,-,-,-,-,-,150000,150000,42.85714286,TRUE,0.00000003,-,-,1,0.5,-,-,-,-,-,0.000005,-,1180,1180
Methyl t-Butyl ether,1634044,O,88.146,0.07919474,9.41069E-005,1.08,Koc,0,0,0.000577,0.023795931,249,48000,-,-,0.01,0.008,2.9995,-,-,-,FALSE,-,60,-,1,0.5,-,-,-,-,-,-,-,360,180
"Dioxin (2,3,7,8-tcdd)",1746016,C,322,0.104,0.0000056,0,Koc,0,0,0.0000812,0.003348751,1.52E-008,7.93103E-005,-,-,-,-,-,150000,150000,42.85714286,TRUE,0.00000003,-,-,1,0.5,-,-,-,-,-,0.000005,-,1180,1180
Manganese,7439965,N,54.938,0,0,1.7,Kd,0,0,0,0,0,930,-,-,0.02,0.0012,0.00005005,-,-,-,FALSE,-,1,-,1,0,0.001,-,-,-,0.003,-,0.002,7,7
Molybdenum,7439987,N,95.94,0,0,2.04,Kd,0,0,0,0,0,2450,-,-,0.005,0.0019,-,-,-,-,FALSE,-,10,-,1,0,0.001,-,-,-,0.003,-,-,-,-
Mercury,7439976,N,200.59,0.0307,0.0000063,1.72,Kd,1.71532,0.7914,0.0114,0.470144902,0.002,0.0813,-,-,0.0003,0.000021,0.0003,-,-,-,FALSE,0.002,0.025,0.0021,1,0,-,-,-,-,-,0.0002,-,-,-
Nickel,7440020,N,58.69,0,0,f(pH),Kd,1.81388,1.64418,0,0,0,173290,-,-,0.02,-,-,-,-,0.00048,TRUE,0.1,0.05,1.4,1,0,0.0001,-,-,-,0.0003,0.05,0.015,-,-
Silver,7440224,N,107.9,0,0,f(pH),Kd,0.9178,0.3577,0,0,0,1000000,-,-,0.005,0.0002,-,-,-,-,FALSE,0.1,0.01,0.0034,1,0,-,-,-,-,-,-,-,-,-
Thallium,7440280,N,204.4,0,0,f(pH),Kd,0.36676,0.43234,0,0,0,2900,-,-,0.00007,0.00007,-,-,-,-,FALSE,-,0.1,-,1,0,-,-,-,-,-,0.001,-,-,-
Antimony,7440360,N,121.8,0,0,1.65,Kd,0,0,0,0,0,1000000,-,-,0.0004,0.00006,-,-,-,-,-,0.006,0.5,-,1,0,-,-,-,-,-,0.003,-,-,-
Arsenic,7440382,N,74.9,0,0,f(pH),Kd,1.4574,1.4391,0,0,0,441040,-,-,0.0003,-,-,1.5,7.5,0.004314286,TRUE,0.05,0.002,0.36,1,0,0.001,-,-,-,0.003,0.01,0.053,-,-
Barium,7440393,N,137.33,0,0,f(pH),Kd,1.60928,1.55552,0,0,0,380000,-,-,0.07,0.0049,0.00049,-,-,-,-,2,0.5,-,1,0,-,-,-,-,-,0.1,-,-,-
Beryllium,7440417,N,9.01,0,0,f(pH),Kd,2.9,2.13,0,0,0,1000000,-,-,0.002,-,0.0024,0.0000057,0.000814286,0.0024,TRUE,0.004,0.0005,-,1,0,-,-,-,-,-,0.0008,-,-,-
Cadmium,7440439,N,112.41,0,0,1.88,Kd,1.87428,1.65552,0,0,0,650540,-,-,0.0005,-,22,-,-,0.0018,TRUE,0.005,0.2,0.0037,1,0,0.001,-,-,-,0.003,0.001,0.004,-,-
Copper,7440508,N,63.546,0,0,2.473,Kd,0,0,0,0,0,293240,-,-,0.04,0.0228,-,-,-,-,FALSE,1.3,1,0.017,1,0,0.001,-,-,-,0.003,0.06,0.006,-,-
